>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
TEMPLATE SGSN 13B-CS                         no_value
TEMPLATE SGSN 14A-CS                         no_value
TEMPLATE SGSN 14B-CS                         no_value
TEMPLATE SpitFire 16A                        SpitFire 16A
TEMPLATE SpitFire 17A                        SpitFire 17A
TEMPLATE SpitFire 17B                        SpitFire 17B
TEMPLATE TSP ECIM                            no_value
TEMPLATE UPG 1-0-CORE                        UPG 1-0 NE
TEMPLATE UPG 15A-CORE                        UPG 15A NE
TEMPLATE UPG 16A-CORE                        UPG 16A NE
TEMPLATE UPG 16A-FD1-CORE                    UPG 16A FD1 NE
TEMPLATE UPG 16A-FD2-CORE                    UPG 16A FD2 NE
TEMPLATE UPG 17A-CORE                        UPG 17A NE
TEMPLATE WCG 1-2-CORE                        WCG 1.2 NE
TEMPLATE WCG 14B-CORE                        WCG 14B NE
TEMPLATE WCG 15A-CORE                        WCG 15A NE
TEMPLATE WCG 15B-CORE                        WCG 15B NE
TEMPLATE WCG 16A-CORE                        WCG 16A NE
TEMPLATE WCG 16B-CORE                        WCG 16B NE
TEMPLATE WMG 16A-CORE                        WMG 16A NE
TEMPLATE WMG 16B-CORE                        WMG 16B NE
TEMPLATE WMG 16B-CP01-CORE                   WMG 16B NE
TEMPLATE WMG 16B-CP03-CORE                   WMG 16B NE
TEMPLATE vMTAS 1-5-CORE                      no_value
TEMPLATE vSBG 1-4-CORE                       vSBG 1.4 NE
TEMPLATE vWMG 16B-CORE                       vWMG 16B NE
AXE 1-0                                      AA72 AXE Modern AC-G608 APZ 212 33/52 R3N/17 with APG40 Win2003
AIPCM-MLPPPRouter SE-800                     AIPCM-ML-PPPRouter SE-800
AIPCM-MLPPPRouter SE-800-6-1-4-6             AIPCM-ML-PPPRouter SE-800 6-1-4-6
BSC 06A-APG40                                BSC 06A
BSC 06A-IOG20                                BSC 06A
BSC 06B-APG40                                BSC 06B
BSC 06B-IOG20                                BSC 06B
BSC 07A-APG40                                BSC 07A
BSC 07A-APG43                                BSC 07A
BSC 07A-IOG20                                BSC 07A
BSC 07B-APG40                                BSC 07B
BSC 07B-APG43                                BSC 07B
BSC 07B-IOG20                                BSC 07B
BSC 08A-APG40                                BSC 08A
BSC 08A-APG43                                BSC 08A
BSC 08B-APG40                                BSC 08B
BSC 08B-APG43                                BSC 08B
BSC 09A-APG40                                BSC 09A
BSC 09A-APG43                                BSC 09A
BSC EXTERNAL                                 External BSC not manageable by OSS
BSC G10A-APG40                               BSC G10A
BSC G10A-APG43                               BSC G10A
BSC G10B-APG40                               BSC G10B
BSC G10B-APG43                               BSC G10B
BSC G10B-APG43L                              BSC G10B
BSC G11B-APG40                               BSC G11B
BSC G11B-APG43                               BSC G11B
BSC G11B-APG43L                              BSC G11B
BSC G12A-APG40                               BSC G12A
BSC G12A-APG43                               BSC G12A
BSC G12A-APG43L                              BSC G12A
BSC G12B-APG40                               BSC G12B
BSC G12B-APG43                               BSC G12B
BSC G12B-APG43-EVO8200                       BSC G12B EVO8200
BSC G12B-APG43L                              BSC G12B
BSC G13B-APG40                               BSC G13B
BSC G13B-APG43                               BSC G13B
BSC G13B-APG43-EVO8200                       BSC G13B EVO8200
BSC G13B-APG43L                              BSC G13B
BSC G14B-APG40                               BSC G14B
BSC G14B-APG43                               BSC G14B
BSC G14B-APG43-EVO8200                       BSC G14B EVO8200
BSC G14B-APG43L                              BSC G14B
BSC G15B-APG40                               BSC G15B
BSC G15B-APG40-EVO8100                       BSC G15B EVO8100
BSC G15B-APG40-EVO8200                       BSC G15B EVO8200
BSC G15B-APG43                               BSC G15B
BSC G15B-APG43-EVO8100                       BSC G15B EVO8100
BSC G15B-APG43-EVO8200                       BSC G15B EVO8200
BSC G15B-APG43L                              BSC G15B
BSC G15B-APG43L-EVO8100                      BSC G15B EVO8100
BSC G15B-APG43L-EVO8200                      BSC G15B EVO8200
BSC G16B-APG40                               BSC G16B
BSC G16B-APG40-EVO8200                       BSC G16B EVO8200
BSC G16B-APG43                               BSC G15B
BSC G16B-APG43-EVO8200                       BSC G16B EVO8200
BSC G16B-APG43L                              BSC G16B
BSC G16B-APG43L-EVO8200                      BSC G16B EVO8200
BSC G17-Q2-APG40                             BSC G17.Q2
BSC G17-Q2-APG43                             BSC G17.Q2
BSC G17-Q2-APG43L                            BSC G17.Q2
BSC G17B-APG40                               BSC G17B
BSC G17B-APG43                               BSC G15B
BSC G17B-APG43L                              BSC G17B
BSC G17Q2-APG40                              BSC G17Q2
BSC G17Q2-APG43                              BSC G17Q2
BSC G17Q2-APG43L                             BSC G17Q2
BSC G17Q3-APG40                              BSC G17Q3
BSC G17Q3-APG43                              BSC G17Q3
BSC G17Q3-APG43L                             BSC G17Q3
BSC G17Q4-APG40                              BSC G17Q4
BSC G17Q4-APG43                              BSC G17Q4
BSC G17Q4-APG43L                             BSC G17Q4
BSC R10-APG40                                BSC R10 Main - APZ 212 25/111
BSC R10-IOG20                                BSC R10 Main - APZ 212 25/111
BSC R11-APG40                                BSC R11 Main - APZ 212 30/54 R4A
BSC R11-IOG20                                BSC R11 Main - APZ 212 30/54 R4A
BSC R12-APG40                                BSC R12 - APZ 212 30/54 R4A
BSC R12-IOG20                                BSC R12 - APZ 212 30/54 R4A
BSC R91APG40                                 BSC R9.1 - APZ 212 30/54
Firewall Netscreen-100                       Firewall Netscreen-100
Firewall Netscreen-1000                      Firewall Netscreen-1000
Firewall Netscreen-204                       Firewall Netscreen-204
Firewall Netscreen-208                       Firewall Netscreen-208
Firewall Netscreen-500                       Firewall Netscreen-500
Firewall Netscreen-ISG1000                   Firewall Netscreen-ISG1000
Firewall Netscreen-ISG2000                   Firewall Netscreen-ISG2000
Firewall Netscreen-SSG5                      Firewall Netscreen-SSG5
Firewall Netscreen-SSG520                    Firewall Netscreen-SSG520
Firewall Netscreen-SSG550                    Firewall Netscreen-SSG550
HLR 12B-APG40                                12B + WCDMA CN4.0 - APZ 212 30/54
HLR 13B                                      13B + WCDMA CN4.0 - APZ 212 30/54
HLR 15A-APG40                                15A + WCDMA CN4.0 - APZ 214 60F
HLR 15A-APG43L-AXE                           15A + WCDMA CN4.0 - APZ 212 60F
HLR 15A-APG43L-BSP                           15A + WCDMA CN4.0 - APZ 212 60F
HLR 15A-AXE                                  15A + WCDMA CN4.0 - APZ 212 60F
HLR 15A-BSP                                  15A + WCDMA CN4.0 - APZ 212 60F
HLR R10                                      R10 + WCDMA CN3.0 - APZ 212 30/54
HLR R11                                      R11 + WCDMA CN4.0 - APZ 212 30/54
HLR R15A                                     R15A + WCDMA CN4.0 - APZ 212 60F
HLR R15A-BSP                                 R15A + WCDMA CN4.0 - APZ 212 60F
HLR R16A                                     R15A + WCDMA CN4.0 - APZ 212 60F
HLR R16A-BSP                                 R15A + WCDMA CN4.0 - APZ 212 60F
HLR R9                                       HLR R9 - APX 101 03/3
HLR-BS-APG 11B                               GSM 11B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG 12A                               GSM 12A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG 12B                               GSM 12B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG 13B                               GSM 13B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG43L 15A                            GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG43L 16A                            GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-APG43L 17A                            GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP 11B                                GSM 11B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP 12A                                GSM 12A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP 12B                                GSM 12B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP 13B                                GSM 13B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP-APG43L 15A                         GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP-APG43L 16A                         GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-CP-APG43L 17A                         GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-IPLB-APG43L R16A                      GSM R15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX 11B                               GSM 11B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX 12A                               GSM 12A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX 12B                               GSM 12B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX 13B                               GSM 13B + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX-APG43L 15A                        GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX-APG43L 16A                        GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-BS-SPX-APG43L 17A                        GSM 15A + WCDMA CN5.0 - APZ 212 40/54
HLR-FE 1-1-APG43L                            1.1 + WCDMA CN5.0 - APZ 212 40/54
HLR-FE 15A-APG43L                            16A + WCDMA CN5.0 - APZ 212 40/54
HLR-FE 16A-APG43L                            16A + WCDMA CN5.0 - APZ 212 40/54
HLR-FE 16A-APG43L-BSP                        16A + WCDMA CN5.0 - APZ 212 40/54
HLR-FE 17A-APG43L                            17A + WCDMA CN5.0 - APZ 212 40/54
HLR-S 11B-APG40                              11B + WCDMA CN5.0 - APZ 212 40/54
HLR-S 11B-IOG20                              11B+ WCDMA CN5.0 - APZ 212 40/54
HLR-S 12A-APG40                              12A + WCDMA CN5.0 - APZ 212 40/54
HLR-S 12A-IOG20                              12A + WCDMA CN5.0 - APZ 212 40/54
HLR-S 12B-APG40                              12B + WCDMA CN5.0 - APZ 212 40/54
HLR-S 12B-IOG20                              12B + WCDMA CN5.0 - APZ 212 40/54
HLR-S 13B-APG40                              13B + WCDMA CN5.0 - APZ 212 40/54
HLR-S 13B-IOG20                              13B + WCDMA CN5.0 - APZ 212 40/54
HLR-S R135-APG40                             R13.5 + WCDMA CN5.0 - APZ 212 40/54
HLR-S R135-IOG20                             R13.5 + WCDMA CN5.0 - APZ 212 40/54
LANSWITCH 1i                                 EXTREME LANSwitch Summit 1i
LANSWITCH 24i                                EXTREME LANSwitch Summit 24i
LANSWITCH 48i                                EXTREME LANSwitch Summit48i
LANSWITCH 5i                                 EXTREME LANSwitch Summit 5i
LANSWITCH 7i                                 EXTREME LANSwitch Summit7i
LANSWITCH BLACK-DIAMOND-8806                 EXTREME LANSwitch Black Diamond 8806
LANSWITCH BLACK-DIAMOND-x450a                EXTREME LANSwitch Black Diamond x450a
LANSWITCH BSC-NWI-E-450A                     EXTREME LANSwitch Summit X450a
LANSWITCH EXTREME-ALPINE                     EXTREME LANSwitch ExtremeAlpine
LANSWITCH R1                                 EXTREME LANSwitch Summit48si
ML-PPPRouter SE-400                          ML-PPPRouter SE-400
ML-PPPRouter SE-800                          ML-PPPRouter SE-800
MSC 13B-APG40                                GSM 13B + WCDMA CN4.0 - APZ 212 40/54
MSC 13B-IOG20                                GSM 13B + WCDMA CN4.0 - APZ 212 30/54 R4A
MSC EXTERNAL                                 External MSC not manageable by OSS
MSC R10-APG40                                GSM R10 + WCDMA CN3.0 - APZ 212 40/54
MSC R10-IOG20                                GSM R10 + WCDMA CN3.0 - APZ 212 30/54
MSC R11-APG40                                GSM R11 + WCDMA CN4.0 - APZ 212 40/54
MSC R11-IOG20                                GSM R11 + WCDMA CN4.0 - APZ 212 30/54 R4A
MSC R12-APG40                                GSM R12 + WCDMA CN5.0 - APZ 212 40/54
MSC R12-IOG20                                GSM R12 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R121-APG40                               GSM R12.1 + WCDMA CN5.0 - APZ 212 40/54
MSC R121-IOG20                               GSM R12.1 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R122-APG40                               GSM R12.2 + WCDMA CN5.0 - APZ 212 40/54
MSC R122-IOG20                               GSM R12.2 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R12A-APG40                               GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC R12A-APG43L                              GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC R12B-APG40                               GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC R12B-APG43L                              GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC R13-APG40                                GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC R13-APG43L                               GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC R13-IOG20                                GSM R13 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R132-APG40                               GSM R13.2 + WCDMA CN5.0 - APZ 212 40/54
MSC R132-IOG20                               GSM R13.2 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R13A-APG40                               GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC R13A-APG43L                              GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC R14-APG40                                GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC R14-APG43L                               GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC R14-IOG20                                GSM R14 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R141-APG40                               GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC R141-APG43L                              GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC R141-IOG20                               GSM R14.1 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC R14B-APG40                               GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R14B-APG43L                              GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R15A-APG40                               GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R15A-APG43L                              GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC R15B-APG40                               GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC R15B-APG43L                              GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC R16A-APG40                               GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R16A-APG43L                              GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R17A-APG40                               GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC R17A-APG43L                              GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC R18A-APG40                               GSM R18A + WCDMA CN5.0 - APZ 212 40/54
MSC R18A-APG43L                              GSM R18A + WCDMA CN5.0 - APZ 212 40/54
MSC R91APG40                                 GSM R9.1 + UMTS CN2.0 - APZ 212 30/54
MSC-IOG20-APG43L R12                         GSM R12 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IOG20-APG43L R122                        GSM R12.2 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IOG20-APG43L R13                         GSM R13 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IOG20-APG43L R132                        GSM R13.2 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IOG20-APG43L R14                         GSM R14 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IOG20-APG43L R141                        GSM R14.1 + WCDMA CN5.0 (incl HLR) - APZ 212 30/54 R4A
MSC-IP-STP R15A-APG43L                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-IP-STP R16A-APG43L                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-IP-STP R17A-APG43L                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-IP-STP R18A-APG43L                       GSM R18A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R12A                               GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R12B                               GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R13                                GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R13A                               GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R14                                GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R141                               GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R14B                               GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R15A                               GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG R15B                               GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R12A                            GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R12B                            GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R13                             GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R13A                            GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R14                             GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R141                            GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R14B                            GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R15A                            GSM R15 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R16A                            GSM R15 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R17A                            GSM R15 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-APG43L R18A                            GSM R15 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R12A                                GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R12B                                GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R13                                 GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R13A                                GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R14                                 GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R141                                GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R14B                                GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R14B-APG43L                         GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R15A                                GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP R15B                                GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R12A                         GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R13                          GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R13A                         GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R141                         GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R14B                         GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R15A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R16A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R17A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-CP-APG43L R18A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB R12B-APG40                          GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB R13A-APG40                          GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB R14B-APG40                          GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB R14B-APG43L                         GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB R15A-APG40                          GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R12A                         GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R12B                         GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R13A                         GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R141                         GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R14B                         GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R15A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R16A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R17A                         GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-DB-APG43L R18A                         GSM R18A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-IPLB-APG43L R15A                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-IPLB-APG43L R16A                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-IPLB-APG43L R17A                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-IPLB-APG43L R18A                       GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R12A                               GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R12B                               GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R13                                GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R13A                               GSM R13A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R14                                GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R141                               GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R14B                               GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R14B-APG43L                        GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R15A                               GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX R15B                               GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R12A                        GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R12B                        GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R13                         GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R13A                        GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R14                         GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R141                        GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R14B                        GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R15A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R16A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R17A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-SPX-APG43L R18A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC R13                                GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC R14                                GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC R141                               GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC R15A                               GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC R15B                               GSM R15B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R12A                        GSM R12A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R12B                        GSM R12B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R13                         GSM R13 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R14                         GSM R14 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R141                        GSM R14.1 + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R14B                        GSM R14B + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R15A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R16A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R17A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
MSC-S-TSC-APG43L R18A                        GSM R15A + WCDMA CN5.0 - APZ 212 40/54
STN 06A-PSTU                                 PSTU 06A NE
STN 06B-PSTU                                 PSTU 06B NE
STN 07B-PICO                                 STN 07B PICO NE
STN 07B-SIU                                  STN 07B SIU NE
STN 08A-PICO                                 STN 08A PICO NE
STN 08A-SIU                                  STN 08A SIU NE
STN 08B-PICO                                 STN 08B PICO NE
STN 08B-SIU                                  STN 08B SIU NE
STN 09A-PICO                                 STN 09A PICO NE
STN 09A-SIU                                  STN 09A SIU NE
STN 09A1-SIU                                 STN 09A_1 SIU NE
STN G10A-PICO                                STN G10A PICO NE
STN G10A-SIU                                 STN G10A SIU NE
STN T10A-PICO                    DEPRECATED  STN T10A PICO NE
STN T10A-SIU01                   DEPRECATED  STN T10A SIU01 NE
STN T10A-SIU02                   DEPRECATED  STN T10A SIU02 NE
STN T10B-SIU                     DEPRECATED  STN T10B SIU NE
STN T11A-PICO                    DEPRECATED  STN T11A PICO NE
STN T11A-SIU02                   DEPRECATED  STN T11A SIU02 NE
STN T11B-SIU02                   DEPRECATED  STN T11B SIU02 NE
STN T11B-TCU                     DEPRECATED  STN T11B TCU NE
STN T12A-SIU02                   DEPRECATED  STN T12A SIU02 NE
STN T12A-TCU02                   DEPRECATED  STN T12A TCU NE
STN T12B-SIU02                   DEPRECATED  STN T12B SIU02 NE
STN T12B-TCU02                   DEPRECATED  STN T12B TCU NE
STN T17A-SIU02-5-38-8-V2         TEMPLATE-BASED STN T17A SIU02 5-38-8
STN T17A-TCU02-7-38-8-V2         TEMPLATE-BASED STN T17A TCU02 7-38-8
STP R15A-APG43L                              GSM R15A + WCDMA CN5.0 - APZ 212 40/54
STP R16A-APG43L                              GSM R15A + WCDMA CN5.0 - APZ 212 40/54
STP R17A-APG43L                              GSM R15A + WCDMA CN5.0 - APZ 212 40/54
STP R18A-APG43L                              GSM R15A + WCDMA CN5.0 - APZ 212 40/54
TimeServer 06A                               TimeServer 06A - with ARNE support only
TimeServer 06B                               TimeServer 06B - with ARNE support only
TEMPLATE STN T10A                            no_value
TEMPLATE STN T11A                            no_value
TEMPLATE STN T14B-ECIM-GSM                   STN T14B TCU NE
TEMPLATE TCU03 14B                           TCU03 14B NE
TEMPLATE TCU03 15B                           TCU03 15B NE
TEMPLATE TCU03 16A                           TCU03 16A NE
TEMPLATE TCU03 16B                           TCU03 16B NE
TEMPLATE TCU03 17-Q2                         TCU03 17.Q2 NE
TEMPLATE TCU03 17-Q4                         TCU03 17.Q4 NE
TEMPLATE TCU03 17A                           TCU03 17A NE
TEMPLATE TCU03 17B                           TCU03 17B NE
TEMPLATE TCU04 16A                           TCU04 16A NE
TEMPLATE TCU04 16B                           TCU04 16B NE
TEMPLATE TCU04 17-Q2                         TCU04 17.Q2 NE
TEMPLATE TCU04 17-Q3                         TCU04 17.Q3 NE
TEMPLATE TCU04 17-Q4                         TCU04 17.Q4 NE
TEMPLATE TCU04 17A                           TCU04 17A NE
TEMPLATE TCU04 17B                           TCU04 17B NE
TEMPLATE TCU04 C608                          TCU04 C608 NE
HOTSIP v232                                  HOTSIP v232
EXB-L3X 07A                                  EXB/L3X LANSWITCH
HLR-BS-IS 3-1                                Integrated Site SIS 3.1
IS 1-1                                       Integrated Site SIS 1.1
MGC 15B                                      Integrated Site SIS 1.1
MGC 16B                                      Integrated Site SIS 1.1
MGC 4-2                                      Integrated Site SIS 1.1
MGC 5-1                                      Integrated Site SIS 1.1
MGC 5-1-FD2                                  Integrated Site SIS 1.1
MGC 6-0                                      Integrated Site SIS 1.1
