>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
ML-TN 5-4-AMM6pD                 TEMPLATE-BASED ML-TN 5.4
ML-TN 5-4-FP-AMM20pB             TEMPLATE-BASED ML-TN 5.4 FP AMM20pB
ML-TN 5-4-FP-AMM6pD              TEMPLATE-BASED ML-TN 5.4 FP
ML-TN 6-0-AMM2pB                 TEMPLATE-BASED ML-TN 6.0 AMM2pB
OMS1410 2-0                      TEMPLATE-BASED OMS 1410 R2.0
OMS1460 2-9                      TEMPLATE-BASED OMS 1460 R2.9
OMS1654 R3-1-4                   TEMPLATE-BASED OMS 1654 R3.1.4
OMS1654 R4-1                     TEMPLATE-BASED OMS 1654 R4.1
OMS1664 R3-1-2                   TEMPLATE-BASED OMS 1664 R3.1.2
OMS1664 R3-1-5                   TEMPLATE-BASED OMS 1664 R3.1.5
OMS1664 R4-1-burton-big          TEMPLATE-BASED OMS 1664 R4.1 Burton big
OMS2400 OMS2450-3-1              TEMPLATE-BASED OMS2400 R3.1
OMS3255 1-0                                  OMS3255 based simulation
OMS3255 Trace-Replay                         OMS3255 trace-replay based simulation
OMS800 OMS846-1-3                TEMPLATE-BASED OMS846 R1.3
OMS800 OMS846-1-4                TEMPLATE-BASED OMS846 R1.4
OMS800 OMS846-1-5                TEMPLATE-BASED OMS846 R1.5
OMS800 OMS860-2-2                TEMPLATE-BASED OMS860 R2.2
OMS800 OMS860-2-3                TEMPLATE-BASED OMS860 R2.3
OMS800 OMS860-2-4                TEMPLATE-BASED OMS860 R2.4
OMS800 OMS860-2-4-Large-PMPs     TEMPLATE-BASED OMS860 R2.4 Large PMPs
OMS800 OMS870-3-2                TEMPLATE-BASED OMS870 R3.2
OMS800 OMS870-3-3                TEMPLATE-BASED OMS870 R3.3
OMS800 OMS870-3-4                TEMPLATE-BASED OMS870 R3.4
OMS800 OMS870-3-4-Large-PMPs     TEMPLATE-BASED OMS870 R3.4 Large PMPs
OSS FOR-MDRS                                 MDRS Manager test NE
OSS FOR-MHL-3000                             Simulated OSS suitable for communication with MHL 3000 NEs
OSS FOR-MHLXC                                Simulated OSS for communication with MHL-XC NEs
OSS FOR-OMS1600                              Test client for OMS-1600 nodes
OSS FOR-XRPC                                 Test client for XRPC based nodes
RADWIN 2000                      TEMPLATE-BASED RADWIN 2000
RAMAN 1-0                        TEMPLATE-BASED RAMAN
Router 8801-2-0                  TEMPLATE-BASED SSR 8801
SPO1110 1-0                      TEMPLATE-BASED SPO 1110 R1.0
SPO1401 1-0                      TEMPLATE-BASED SPO 1401 R1.0
SPO1410 3-0                      DEPRECATED  SPO 1410 R3.0
